Citations,eLife,Nature,Nature Comm.,PLOS Biol.,PLOS Genet.,PLOS ONE,Science,Sci. Rep.
0,56,11,171,19,98,12624,28,926
1,51,5,267,25,169,13293,15,1029
2,59,13,334,34,171,10494,18,941
3,83,21,369,39,185,7980,26,751
4,77,23,345,36,181,5377,38,590
5,55,32,355,29,156,3513,41,464
6,55,24,324,31,106,2458,66,338
7,57,42,290,31,96,1590,50,298
8,38,45,246,18,82,1110,47,214
9,31,44,189,29,62,793,40,143
10,21,47,217,14,58,550,50,115
11,22,58,142,12,45,390,45,90
12,24,45,132,14,36,301,50,89
13,19,52,102,12,34,229,58,69
14,15,54,100,3,26,176,52,43
15,10,54,80,5,16,114,59,40
16,15,51,72,4,19,95,53,32
17,5,42,68,2,11,70,41,33
18,5,50,59,5,16,56,43,27
19,9,39,52,5,7,56,42,23
20,3,48,39,5,9,30,44,18
21,5,31,43,4,4,41,41,12
22,5,40,31,1,5,20,37,13
23,2,38,31,5,7,17,30,11
24,3,37,28,1,1,11,41,11
25,1,27,22,1,4,9,25,6
26,3,30,16,,7,8,29,8
27,2,45,20,,2,13,28,5
28,3,27,18,,1,6,15,5
29,1,25,18,1,3,6,24,4
30,1,24,8,2,3,6,20,3
31,,26,13,1,,4,18,8
32,,26,12,1,,4,17,5
33,1,24,10,,2,5,18,4
34,2,22,7,,1,6,14,1
35,1,15,8,,,2,14,2
36,,25,9,,,6,18,6
37,,14,7,1,,3,12,1
38,1,20,2,1,1,2,17,3
39,1,22,6,,,,14,2
40,,6,8,,1,,10,2
41,,13,4,,1,1,9,2
42,,16,5,,,1,9,2
43,,6,3,1,,1,14,3
44,,10,3,,,3,9,1
45,,10,4,,1,4,11,
46,,15,5,,1,1,12,1
47,,7,6,,,2,11,1
48,,14,3,,,,12,3
49,,8,5,,1,,5,3
50,,10,4,,,1,12,1
51,,18,2,,1,,8,
52,1,15,3,,,3,8,1
53,,10,2,,1,,8,2
54,,12,1,,,,6,
55,1,8,4,,,,5,2
56,,9,,,,1,5,1
57,,6,3,,,1,3,
58,,7,3,,,,8,
59,,8,1,,,,7,
60,,13,2,,,,4,1
61,,5,4,,,2,6,
62,,6,1,,,,4,
63,,8,1,,,1,3,
64,,4,3,,,1,8,
65,,,2,,,,6,2
66,,4,2,,,2,1,
67,,5,,,,,6,
68,,1,2,,,,3,
69,1,8,,,,1,4,
70,,7,,,,,3,
71,,1,,,,1,3,1
72,,3,3,,,,5,
73,,2,,,,,2,
74,,7,,,,,2,
75,,3,,,,,1,1
76,,1,,,,,7,
77,,2,,,,,2,
78,,2,2,,,1,1,
79,,1,1,,,,2,
80,,1,,,,,3,1
81,,2,,,,2,3,1
82,,6,,,1,,4,
83,,1,1,,,,5,1
84,,1,1,,,,2,2
85,,6,,,,,2,
86,,1,2,,,,1,
87,,2,1,,,,,
88,,4,1,,,,2,
89,,3,2,,,,1,
90,,2,,,,,,
91,,3,,,,1,4,
92,,2,,,,,1,
93,,3,1,,,,,
94,,2,1,,,,,
95,,4,1,,,,2,
96,,3,2,,,,,
97,,2,1,,,,1,
98,,,1,,,,3,
99,,1,,,,,2,
100+,1,74,13,0,0,1,54,1
